,Sr No,startup,vertical,city,investors,round,amount,year,state
0,1,#Fame,Media,Mumbai,To the new ventures,Private Equity,82.5,2015,Maharashtra
1,2,1mg,Healthcare,Gurugram,"Deep kalra, Sequoia capital, Omidyar network, Intel capital & kae capital",Private Equity,49.5,2015,Haryana
2,3,20Dresses,Personal Care,Mumbai,"Srinivas aluri, Srinivas modukury, Bs nagesh",Seed Funding,8.25,2015,Maharashtra
3,4,33Coupons,Marketing,Kanpur,Not disclosed,Seed Funding,0.17,2015,Uttar Pradesh
4,5,6Degree,Networking,Mumbai,"Centre for incubation & business acceleration (ciba), Goa",Seed Funding,0.0,2015,Maharashtra
5,6,aagaar,Food,Gurugram,Group of investors,Seed Funding,0.0,2015,Haryana
6,7,Aasaanjobs,Careers,Mumbai,"Inventus capital partners, Idg ventures",Seed Funding,12.38,2015,Maharashtra
7,8,Abhibus,Travel,Hyderabad,Paytm (one97 communications),Private Equity,0.0,2015,Telangana
8,9,Absentia,Technology,Bengaluru,"Astarc ventures, 50k ventures & others",Seed Funding,1.49,2015,Karnataka
9,10,Actionable Analytics,Data Analytics,New Delhi,"B m gupta, Vinod singhal",Seed Funding,0.0,2015,Delhi
10,11,AdStringO,Marketing,Mumbai,"Arihant patni, Vishal khare,  viswanath ramachandran",Seed Funding,2.89,2015,Maharashtra
11,12,AdWyze,Marketing ,Bengaluru,Mape advisory,Seed Funding,8.25,2015,Karnataka
12,13,AgentDesks,Real Estate,Gurugram,"Sierra ventures, Cota capital, Vegas tech fund",Seed Funding,24.34,2015,Haryana
13,14,Agrostar,AgriTech,Pune,Idg ventures,Private Equity,33.0,2015,Maharashtra
14,15,AHA Taxis,Transportation,Noida,Ah! ventures,Seed Funding,0.0,2015,Uttar Pradesh
15,16,Aisle.co,E-Commerce,Bengaluru,"Anand vijay, Shashank mehrotra & others",Seed Funding,0.83,2015,Karnataka
16,17,Akosha,Technology,New Delhi,Sequoia capital,Private Equity,132.0,2015,Delhi
17,18,AllIzHealth,Healthcare,Pune,Mumbai angels & other angel investors,Seed Funding,2.89,2015,Maharashtra
18,19,Allygrow Technologies,Technology,Mumbai,Zodius technology fund,Private Equity,165.0,2015,Maharashtra
19,20,AlmaMapper,Education,Ahmedabad,Oswal techno ventures llp,Seed Funding,3.3,2015,Gujarat
20,21,Amagi Media Labs,Media,Bengaluru,Premji invest & mayfield fund,Private Equity,0.0,2015,Karnataka
21,22,Ameyo,Technology,Gurugram,forum synergies pe fund,Private Equity,41.25,2015,Haryana
22,23,Amigobulls,Finance,Bengaluru,"Sharad sharma, Vijay anand, Mohandas pai. pallav nadhani, Singapore angels network & others",Seed Funding,0.0,2015,Karnataka
23,24,Ampere,Transportation,Coimbatore,Ratan tata,Seed Funding,0.0,2015,Tamil Nadu
24,25,Ampere Vehicles,Transportation,Coimbatore,Kris gopalakrishnan & others,Seed Funding,9.9,2015,Tamil Nadu
25,26,Anakage,Personal Care,Bengaluru,Cio angel network (can),Seed Funding,0.0,2015,Karnataka
26,27,Antuit,Data Analytics,Bengaluru,"Goldman sachs, Zodius capital",Private Equity,462.0,2015,Karnataka
